SN_name,spectra_file,obs_date,dereddening,smoothing,source,frame
2011ke,SN2011ke_2011-05-11_00-00-00_Mayall_RC-Spec_PTF_0_obs.dat,2455692.5,No,Yes,Quimby et al. 2018,Rest
2011ke,SN2011ke_2011-05-13_00-00-00_Mayall_RC-Spec_PTF_0_obs.dat,2455694.5,No,Yes,Quimby et al. 2018,Rest
2011ke,2011ke_2011-05-15_00-00-00_Other_Other_None.ascii,2455696.5,Yes,No,Inserra et al. 2013,Unknown
2011ke,2011ke_2011-05-22_00-00-00_TNG_NICS_None.ascii,2455703.5,Yes,No,Inserra et al. 2013,Unknown
2011ke,SN2011ke_2011-05-25_00-00-00_P200_DBSP_PTF_0_obs.dat,2455706.5,No,Yes,Quimby et al. 2018,Rest
2011ke,SN2011ke_2011-05-30_00-00-00_HST_STIS_PTF_obs.dat,2455711.5,No,Yes,Quimby et al. 2018,Rest
2011ke,2011ke_2011-06-01_00-00-00_Other_Other_None.ascii,2455713.5,Yes,No,Inserra et al. 2013,Unknown
2011ke,SN2011ke_2011-06-01_00-00-00_Keck2_DEIMOS_PTF_0_obs.dat,2455713.5,No,Yes,Quimby et al. 2018,Rest
2011ke,SN2011ke_2011-06-07_00-00-00_Mayall_RC-Spec_PTF_0_obs.dat,2455719.5,No,Yes,Quimby et al. 2018,Rest
2011ke,2011ke_2011-06-09_00-00-00_VLT-UT1_FORS1_None.ascii,2455721.5,Yes,No,Inserra et al. 2013,Unknown
2011ke,2011ke_2011-06-18_00-00-00_Other_Other_None.ascii,2455730.5,Yes,No,Inserra et al. 2013,Unknown
2011ke,2011ke_2011-06-25_00-00-00_VLT-UT2_X-Shooter_None.ascii,2455737.5,Yes,No,Inserra et al. 2013,Unknown
2011ke,SN2011ke_2011-07-02_00-00-00_Keck1_LRIS_PTF_obs.dat,2455744.5,No,Yes,Quimby et al. 2018,Rest
2011ke,SN2011ke_2012-01-26_00-00-00_Keck1_LRIS_PTF_obs.dat,2455952.5,No,Yes,Quimby et al. 2018,Rest
2011ke,SN2011ke_2012-03-23_00-00-00_Keck1_LRIS_PTF_0_obs.dat,2456009.5,No,Yes,Quimby et al. 2018,Rest
2012il,SN2012il_2012-01-30_00-00-00_NOT_ALFOSC_None.ascii,2455956.5,Yes,No,Inserra et al. 2013,Unknown
2012il,SN2012il_2012-03-03_00-00-00_WHT-4.2m_ISIS_None.ascii,2455989.5,Yes,No,Inserra et al. 2013,Unknown
2012il,SN2012il_2012-03-03_00-00-00_WHT-4.2m_ISIS_None_0.ascii,2455989.5,Yes,No,Inserra et al. 2013,Unknown
2012il,SN2012il_2012-03-17_00-00-00_VLT-UT2_X-Shooter_None.ascii,2456003.5,Yes,No,Inserra et al. 2013,Unknown
2012il,SN2012il_2012-03-17_00-00-00_VLT-UT2_X-Shooter_None_0.ascii,2456003.5,Yes,No,Inserra et al. 2013,Unknown
2012il,SN2012il_2012-03-17_00-00-00_VLT-UT2_X-Shooter_None_1.ascii,2456003.5,Yes,No,Inserra et al. 2013,Unknown
2012il,SN2012il_2012-03-17_00-00-00_VLT-UT2_X-Shooter_None_2.ascii,2456003.5,Yes,No,Inserra et al. 2013,Unknown
,,,,,DES15E2mlf_2015-12-15_02-03-29_Gemini-S_GMOS-S_None.flm,Unknown
DES15E2mlf,DES15E2mlf_2016-01-14_01-14-13_Gemini-S_GMOS-S_None.flm,2457401.5515394,No,No,2017MNRAS.470.4241P,Unknown
DES15E2mlf,DES15E2mlf_2015-12-06_02-20-13_Gemini-S_GMOS-S_None.flm,2457362.5973727,No,No,2017MNRAS.470.4241P,Unknown
LSQ14mo,LSQ14mo_2014-01-31_05-23-17_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat,2456688.7245023,No,No,PESSTO-SSDR1-2,Unknown
LSQ14mo,LSQ14mo_2014-02-06_06-12-01_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat,2456694.7583449,No,No,PESSTO-SSDR1-2,Unknown
LSQ14mo,LSQ14mo_2014-04-21_02-18-03_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat,2456768.5958681,No,No,PESSTO-SSDR1-2,Unknown
LSQ14mo,LSQ14mo_2014-02-06_05-31-59_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat,2456694.730544,No,No,PESSTO-SSDR1-2,Unknown
LSQ14mo,LSQ14mo_2014-02-06_04-30-51_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat,2456694.6880903,No,No,PESSTO-SSDR1-2,Unknown
LSQ14mo,LSQ14mo_2014-01-31_03-46-58_ESO-NTT_EFOSC2-NTT_PESSTO.asci,2456688.6576157,No,No,PESSTO,Unknown
LSQ14mo,LSQ14mo_2014-02-28_03-34-32_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat,2456716.6489815,No,No,PESSTO-SSDR1-2,Unknown
LSQ14mo,LSQ14mo_2014-04-21_02-58-37_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat,2456768.6240394,No,No,PESSTO-SSDR1-2,Unknown
LSQ14mo,LSQ14mo_2014-02-20_01-50-04_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat,2456708.5764352,No,No,PESSTO-SSDR1-2,Unknown
LSQ14mo,LSQ14mo_2014-02-06_07-13-09_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat,2456694.8007986,No,No,PESSTO-SSDR1-2,Unknown
LSQ14mo,LSQ14mo_2014-02-20_01-19-30_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat,2456708.5552083,No,No,PESSTO-SSDR1-2,Unknown
LSQ14mo,LSQ14mo_2014-02-06_05-01-25_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat,2456694.7093171,No,No,PESSTO-SSDR1-2,Unknown
LSQ14mo,LSQ14mo_2014-02-28_04-05-06_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat,2456716.6702083,No,No,PESSTO-SSDR1-2,Unknown
LSQ14mo,LSQ14mo_2014-03-08_06-13-10_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat,2456724.7591435,No,No,PESSTO-SSDR1-2,Unknown
LSQ14mo,LSQ14mo_2014-03-08_06-53-44_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat,2456724.7873148,No,No,PESSTO-SSDR1-2,Unknown
LSQ14mo,LSQ14mo_2014-02-06_06-42-35_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat,2456694.7795718,No,No,PESSTO-SSDR1-2,Unknown
LSQ14mo,LSQ14mo_2014-01-31_03-46-58_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat,2456688.6576157,No,No,PESSTO-SSDR1-2,Unknown
LSQ14mo,LSQ14mo_2014-04-21_01-37-28_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat,2456768.5676852,No,No,PESSTO-SSDR1-2,Unknown
LSQ14mo,LSQ14mo_2014-01-31_04-52-43_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat,2456688.7032755,No,No,PESSTO-SSDR1-2,Unknown
LSQ14mo,LSQ14mo_2014-03-08_05-32-36_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat,2456724.7309722,No,No,PESSTO-SSDR1-2,Unknown
LSQ14mo,LSQ14mo_2014-02-28_03-03-57_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat,2456716.6277431,No,No,PESSTO-SSDR1-2,Unknown
LSQ14mo,LSQ14mo_2014-02-20_02-20-39_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat,2456708.5976736,No,No,PESSTO-SSDR1-2,Unknown
LSQ14mo,LSQ14mo_2014-04-21_00-56-53_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat,2456768.5395023,No,No,PESSTO-SSDR1-2,Unknown
PS1-10awh,PS1-10awh_2010-12-09_00-00-00_MMT_MMT-Blue_PS1.flm,2455539.5,No,No,PS1,Unknown
PS1-10awh,PS1-10awh_2010-10-12_00-00-00_Gemini-N_GMOS_PS1.flm,2455481.5,No,No,PS1,Unknown
PS1-10awh,PS1-10awh_2010-11-27_00-00-00_MMT_Hectospec_PS1.flm,2455527.5,No,No,PS1,Unknown
PTF09cnd,PTF09cnd_2009-10-12_00-00-00_WHT-4.2m_ISIS_PTF_0.dat,2455116.5,No,Yes,PTF,Rest
PTF09cnd,PTF09cnd_2010-01-14_00-00-00_Keck1_LRIS_PTF_0.dat,2455210.5,No,Yes,PTF,Rest
PTF09cnd,PTF09cnd_2014-05-27_11-26-05_Keck1_LRIS_None.spec,2456804.9764468,No,No,2016ApJ...830...13P,Unknown
PTF09cnd,PTF09cnd_2010-02-11_00-00-00_Keck1_LRIS_PTF.dat,2455238.5,No,No,PTF,Unknown
PTF09cnd,PTF09cnd_2009-08-25_00-00-00_Keck1_LRIS_PTF_0.dat,2455068.5,No,Yes,PTF,Rest
PTF09cnd,PTF09cnd_2009-10-23_00-00-00_Keck1_LRIS_PTF_0.dat,2455127.5,No,Yes,PTF,Rest
PTF09cnd,PTF09cnd_2009-10-17_00-00-00_Keck1_LRIS_PTF.dat,2455121.5,No,Yes,PTF,Rest
PTF09cnd,PTF09cnd_2009-09-23_00-00-00_Keck1_LRIS_PTF_1.dat,2455097.5,No,Yes,PTF,Rest
PTF09cnd,PTF09cnd_2009-08-25_00-00-00_Keck1_LRIS_PTF.dat,2455068.5,No,No,PTF,Unknown
PTF09cnd,PTF09cnd_2010-09-05_00-00-00_Keck1_LRIS_PTF.dat,2455444.5,No,Yes,PTF,Rest
PTF09cnd,PTF09cnd_2009-09-15_00-00-00_WHT-4.2m_ISIS_PTF.dat,2455089.5,No,Yes,PTF,Rest
PTF09cnd,PTF09cnd_2011-07-02_00-00-00_Keck1_LRIS_PTF.dat,2455744.5,No,Yes,PTF,Rest
PTF09cnd,PTF_09cnd_2009-10-23_05-49-55_Keck1_LRIS_UCB-SNDB_0.flm,2455127.7429977,No,No,UCB-SNDB,Unknown
PTF09cnd,PTF09cnd_2010-02-11_00-00-00_Keck1_LRIS_PTF_0.dat,2455238.5,No,Yes,PTF,Rest
PTF09cnd,PTF09cnd_2009-08-12_00-00-00_WHT-4.2m_ISIS_PTF_0.dat,2455055.5,No,Yes,PTF,Rest
PTF09cnd,PTF09cnd_2009-08-16_00-00-00_P200_DBSP_PTF_1.dat,2455059.5,No,Yes,PTF,Rest
PTF09cnd,PTF09cnd_2010-07-09_00-00-00_Keck1_LRIS_PTF.dat,2455386.5,No,Yes,PTF,Rest
PS1-11aib,PS1-11aib_2011-11-28_MMT_MMT-Blue_None.ascii,2455893.5,No,No,2018ApJ...852...81L,Unknown
2007bi,2007bi_2008-08-04_00-00-00_Keck1_LRIS_PTFdryrun.dat,2454682.5,No,No,PTFdryrun,Unknown
2007bi,SN2007bi_2008-04-10_00-00-00_VLT-UT1_FORS2_None.txt,2454566.5,No,No,2017ApJ...835...13J,Unknown
2007bi,SN2007bi_2008-08-04_00-00-00_Keck1_LRIS_None_0.txt,2454682.5,No,No,2017ApJ...835...13J,Unknown
2007bi,2007bi_2007-06-15_WHT-4.2m_ISIS_None.ascii,2454266.5,No,No, 2010A&amp;A...512A..70Y,Unknown
2007bi,2007bi_2008-04-10_00-00-00_VLT-UT1_FORS2_PTFdryrun.dat,2454566.5,No,No,PTFdryrun,Unknown
2007bi,2007bi_2007-04-16_00-00-00_Keck1_LRIS_PTFdryrun.flm,2454206.5,No,No,PTFdryrun,Unknown
2007bi,SN2007bi_2008-08-04_00-00-00_Keck1_LRIS_None.txt,2454682.5,No,No,2017ApJ...835...13J,Unknown
2007bi,SN2007bi_2008-04-10_00-00-00_VLT-UT1_FORS2_None_0.txt,2454566.5,No,No,2017ApJ...835...13J,Unknown
2007bi,2007bi_2007-04-22_Ekar_AFOSC_None.ascii,2454212.5,No,No,2010A&amp;amp;amp;A...512A..70Y,Unknown
2007bi,SN_2007bi_2007-04-16_08-49-55_Keck1_LRIS_UCB-SNDB_0.flm,2454206.8679977,No,No,UCB-SNDB,Unknown
2007bi,2007bi_2007-07-21_WHT-4.2m_ISIS_None.ascii,2454302.5,No,No,2010A&amp;amp;amp;A...512A..70Y,Unknown
2007bi,2007bi_2007-04-24_INT-2.5m_IDS_None.ascii,2454214.5,No,No, 2010A&amp;A...512A..70Y,Unknown
2007bi,SN_2007bi_2007-04-15_14-26-52_Keck1_LRIS_UCB-SNDB_0.flm,2454206.1019907,No,No,UCB-SNDB,Unknown
2005ap,2005ap_2005-03-16_00-00-00_Keck1_LRIS_CCCP_0.dat,2453445.5,No,No,CCCP,Unknown
2005ap,2005ap_2005-04-15_00-00-00_P200_DBSP_CCCP.flm,2453475.5,No,No,CCCP,Unknown
2005ap,2005ap_2005-03-16_00-00-00_Keck1_LRIS_CCCP.dat,2453445.5,No,No,CCCP,Unknown
2005ap,SN2005ap_2005-03-16_00-00-00_Keck1_LRIS_None.ascii,2453445.5,No,No,,Unknown
2005ap,SN2005ap_2005-03-07_00-00-00_HET_HET-LRS_TS3.dat,2453436.5,No,No,TS3,Unknown
SSS120810,SSS120810-231802-560926_2012-09-26_00-00-00_VLT-UT2_X-Shooter_None_0.txt,2456196.5,No,No,2014MNRAS.444.2096N,Unknown
SSS120810,SSS120810-231802-560926_2012-08-18_05-43-05_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.ascii,2456157.7382523,No,No,PESSTO-SSDR1-2,Unknown
SSS120810,SSS120810-231802-560926_2012-09-26_00-00-00_VLT-UT2_X-Shooter_None.txt,2456196.5,No,No,2014MNRAS.444.2096N,Unknown
SSS120810,SSS120810-231802-560926_2012-10-15_06-24-12_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.ascii,2456215.7668056,No,No,PESSTO-SSDR1-2,Unknown
SSS120810,SSS120810-231802-560926_2012-10-15_07-25-22_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.ascii,2456215.8092824,No,No,PESSTO-SSDR1-2,Unknown
SSS120810,SSS120810-231802-560926_2012-09-24_06-31-09_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.ascii,2456194.7716319,No,No,PESSTO-SSDR1-2,Unknown
SSS120810,SSS120810-231802-560926_2012-09-24_06-15-35_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.ascii,2456194.7608218,No,No,PESSTO-SSDR1-2,Unknown
SSS120810,SSS120810-231802-560926_2012-09-16_05-09-45_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.ascii,2456186.7151042,No,No,PESSTO-SSDR1-2,Unknown
SSS120810,SSS120810-231802-560926_2012-10-15_06-54-47_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.ascii,2456215.788044,No,No,PESSTO-SSDR1-2,Unknown
SSS120810,SSS120810-231802-560926_2012-09-16_05-40-19_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.ascii,2456186.736331,No,No,PESSTO-SSDR1-2,Unknown
SSS120810,SSS120810-231802-560926_2012-08-18_05-43-05_ESO-NTT_EFOSC2-NTT_PESSTO.asci,2456157.7382523,No,No,PESSTO,Unknown
SSS120810,SSS120810-231802-560926_2012-10-15_07-55-57_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.ascii,2456215.8305208,No,No,PESSTO-SSDR1-2,Unknown
SSS120810,SSS120810-231802-560926_2012-08-19_06-44-20_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.ascii,2456158.780787,No,No,PESSTO-SSDR1-2,Unknown
SSS120810,SSS120810-231802-560926_2012-08-25_04-34-24_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.ascii,2456164.6905556,No,No,PESSTO-SSDR1-2,Unknown
SSS120810,SSS120810-231802-560926_2012-09-24_04-23-28_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.ascii,2456194.682963,No,No,PESSTO-SSDR1-2,Unknown
SNLS-06D4eu,SNLS-06D4eu_2006-08-31_00-00-00_VLT-UT1_FORS1_SNLS.dat,2453978.5,No,No,SNLS,Unknown
SCP-06F6,SCP-06F6_2006-04-22_00-00-00_Subaru_FOCAS_None.txt,2453847.5,No,No,2009ApJ...690.1358B,Unknown
SCP-06F6,SCP-06F6_2006-05-18_00-00-00_VLT-UT1_FORS2_None.txt,2453873.5,No,No,2009ApJ...690.1358B,Unknown
SCP-06F6,SCP-06F6_2006-05-28_00-00-00_Keck1_LRIS_None.txt,2453883.5,No,No,2009ApJ...690.1358B,Unknown
SNLS-07D2bv,SNLS-07D2bv_2007-03-16_00-00-00_VLT-UT1_FORS1_SNLS.dat,2454175.5,No,No,SNLS,Unknown
DES14X3taz,DES14X3taz_2015-02-06_20-25-46_GTC_OSIRIS_None.txt,2457060.3512269,No,No,2016ApJ...818L...8S,Unknown
DES14X3taz,DES14X3taz_2015-01-26_20-14-53_GTC_OSIRIS_None.txt,2457049.343669,No,No,2016ApJ...818L...8S,Unknown
PS1-13or,PS1-13or_2013-05-04_Gemini-N_GMOS_None.ascii,2456416.5,No,No,2018ApJ...852...81L,Unknown
2016eay,2016eay_2017-11-26_09-58-30_MMT_MMT-Blue_None.txt,2458083.915625,No,No,2018arXiv180800510N,Unknown
2016eay,2016eay_2016-06-14_HST_STIS_None.txt,2457553.5,No,No,2017ApJ...840...57Y,Unknown
2016eay,2016eay_2016-05-20_22-14-04_NOT_ALFOSC_None.txt,2457529.4264352,No,No,2017MNRAS.469.1246K,Unknown
2016eay,2016eay_2016-05-31_00-00-00_FLWO-1.5m_FAST_None.txt,2457539.5,No,No,2017ApJ...835L...8N,Unknown
2016eay,2016eay_2016-11-24_05-37-23_NOT_ALFOSC_None.txt,2457716.734294,No,No,2017MNRAS.469.1246K,Unknown
2016eay,2016eay_2016-07-15_22-17-42_NOT_ALFOSC_None.txt,2457585.4289583,No,No,2017MNRAS.469.1246K,Unknown
2016eay,2016eay_2016-07-04_00-00-00_FLWO-1.5m_FAST_None.txt,2457573.5,No,No,2017ApJ...835L...8N,Unknown
2016eay,2016eay_2016-07-10_00-00-00_MMT_MMT-Blue_None.txt,2457579.5,No,No,2017ApJ...835L...8N,Unknown
2016eay,2016eay_2017-02-23_02-25-29_GTC_OSIRIS_None.txt,2457807.6010301,No,No,2017MNRAS.469.1246K,Unknown
2016eay,2016eay_2016-06-13_23-58-12_NOT_ALFOSC_None.txt,2457553.49875,No,No,2017MNRAS.469.1246K,Unknown
2016eay,2016eay_2016-06-02_HST_STIS_None.txt,2457541.5,No,No,2017ApJ...840...57Y,Unknown
2016eay,2016eay_2016-06-24_23-13-39_NOT_ALFOSC_None.txt,2457564.4678125,No,No,2017MNRAS.469.1246K,Unknown
2016eay,2016eay_2016-12-10_05-07-03_NOT_ALFOSC_None.txt,2457732.7132292,No,No,2017MNRAS.469.1246K,Unknown
2016eay,2016eay_2016-07-04_22-43-20_NOT_ALFOSC_None.txt,2457574.4467593,No,No,2017MNRAS.469.1246K,Unknown
2016eay,2016eay_2017-05-17_07-28-52_Gemini-N_GMOS_None.txt,2457890.811713,No,No,2018arXiv180800510N,Unknown
2016eay,2016eay_2016-05-27_P200_DBSP_None.txt,2457535.5,No,No,2017ApJ...840...57Y,Unknown
2016eay,2016eay_2016-06-07_Keck1_LRIS_None.txt,2457546.5,No,No,2017ApJ...840...57Y,Unknown
2016eay,2016eay_2016-05-31_P200_DBSP_None.txt,2457539.5,No,No,2017ApJ...840...57Y,Unknown
2016eay,2016eay_2016-05-24_00-08-02_NOT_ALFOSC_None.txt,2457532.5055787,No,No,2017MNRAS.469.1246K,Unknown
2016eay,2016eay_2016-06-06_00-00-00_MMT_MMT-Blue_None.txt,2457545.5,No,No,2017ApJ...835L...8N,Unknown
2016eay,2016eay_2016-06-30_HST_STIS_None.txt,2457569.5,No,No,2017ApJ...840...57Y,Unknown
2016eay,2016eay_2016-06-04_00-00-00_FLWO-1.5m_FAST_None.txt,2457543.5,No,No,2017ApJ...835L...8N,Unknown
2016eay,2016eay_2017-01-14_05-19-42_GTC_OSIRIS_None.txt,2457767.7220139,No,No,2017MNRAS.469.1246K,Unknown
2016eay,2016eay_2016-07-28_21-34-47_NOT_ALFOSC_None.txt,2457598.3991551,No,No,2017MNRAS.469.1246K,Unknown
2016eay,2016eay_2016-12-04_00-00-00_MMT_MMT-Blue_None.txt,2457726.5,No,No,2017ApJ...835L...8N,Unknown
2010gx,2010gx_2010-05-02_00-00-00_WHT-4.2m_ISIS_None.ascii,2455318.5,No,No,2010ApJ...724L..16P,Unknown
2010gx,SN2010gx_2011-03-26_00-00-00_Keck1_LRIS_PTF.dat,2455646.5,No,Yes,PTF,Rest
2010gx,SN2010gx_2010-03-18_00-00-00_P200_DBSP_PTF.dat,2455273.5,No,No,PTF,Unknown
